epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,708.154,1.37559,0.85412,1.17946,0.88806,0.96252,0.94376,0.68754,1.03475,inf,1.02399,0.000475458,0.000475458,0.000475458
2,969.503,0.9917,0.5595,1.00534,0.95548,0.97144,0.98544,0.80332,0.73974,62.4816,0.90811,0.000932946,0.000932946,0.000932946
3,2061.46,0.89078,0.505,0.96571,0.96403,0.97479,0.98307,0.85611,0.58259,inf,0.85199,0.00137157,0.00137157,0.00137157
4,2706.46,0.80464,0.46851,0.93691,0.96425,0.97266,0.98985,0.86553,0.53643,74.4038,0.83413,0.00134412,0.00134412,0.00134412
5,3737.26,0.73311,0.43506,0.91434,0.96492,0.97533,0.98927,0.8806,0.49964,inf,0.81469,0.00131582,0.00131582,0.00131582
6,4237.35,0.68672,0.414,0.89784,0.96669,0.97301,0.99005,0.90174,0.44227,inf,0.80156,0.00128753,0.00128753,0.00128753
7,4994.62,0.64709,0.39726,0.8836,0.98015,0.95853,0.98979,0.90354,0.44084,11.8624,0.80188,0.00125923,0.00125923,0.00125923
8,5597.4,0.62602,0.38562,0.87834,0.983,0.97205,0.99234,0.91512,0.39263,inf,0.78082,0.00123094,0.00123094,0.00123094
9,6278.61,0.59792,0.36915,0.86943,0.96767,0.96825,0.98987,0.90829,0.42458,inf,0.79545,0.00120265,0.00120265,0.00120265
10,6891.72,0.57158,0.35329,0.8618,0.98081,0.98145,0.99245,0.92402,0.38401,2.02693,0.77874,0.00117435,0.00117435,0.00117435
11,900.717,0.56323,0.35743,0.86941,0.98099,0.98374,0.99284,0.91878,0.39192,2.45438,0.77985,0.00114606,0.00114606,0.00114606
12,1661.59,0.53609,0.33901,0.85779,0.97439,0.98404,0.99145,0.94118,0.33667,inf,0.76731,0.00111776,0.00111776,0.00111776
13,3481.69,0.52124,0.33022,0.85306,0.98848,0.99011,0.99413,0.9445,0.31913,0.597,0.76237,0.00108947,0.00108947,0.00108947
