epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4032.76,0.42977,0.2684,0.81159,0.99807,0.9983,0.99447,0.97087,0.26461,0.20763,0.758,0.005842,0.005842,0.005842
44,4118.32,0.42942,0.26849,0.81135,0.99825,0.99831,0.9944,0.9708,0.26352,0.64072,0.7576,0.005743,0.005743,0.005743
45,4204.14,0.42547,0.2644,0.81091,0.99805,0.99842,0.99444,0.9718,0.25988,1.42597,0.75819,0.005644,0.005644,0.005644
46,4289.33,0.41963,0.26386,0.80983,0.99804,0.99836,0.99445,0.9722,0.25764,0.63452,0.75735,0.005545,0.005545,0.005545
47,4375.8,0.41912,0.2616,0.80955,0.99826,0.99842,0.99445,0.97209,0.25444,0.3106,0.75597,0.005446,0.005446,0.005446
48,4462.12,0.41536,0.26011,0.80953,0.99812,0.99841,0.99449,0.97409,0.25053,0.27541,0.75607,0.005347,0.005347,0.005347
49,4547.51,0.41151,0.25907,0.80801,0.99818,0.99853,0.99445,0.97398,0.24928,0.21671,0.75496,0.005248,0.005248,0.005248
50,4632.99,0.40727,0.25705,0.80758,0.99824,0.99851,0.99444,0.97383,0.25233,0.34397,0.75617,0.005149,0.005149,0.005149
51,4719.15,0.40729,0.2559,0.80784,0.99817,0.9985,0.99449,0.97491,0.24923,0.39546,0.75547,0.00505,0.00505,0.00505
52,4845.95,0.40436,0.25637,0.80815,0.99798,0.99853,0.99445,0.97526,0.2468,0.23007,0.75498,0.004951,0.004951,0.004951
53,4938.45,0.40226,0.25491,0.80673,0.99824,0.99854,0.99446,0.97547,0.2454,0.60633,0.7544,0.004852,0.004852,0.004852
54,5036.02,0.39777,0.251,0.80598,0.99827,0.99842,0.99444,0.97575,0.24499,0.68065,0.75421,0.004753,0.004753,0.004753
55,5125.14,0.39553,0.25084,0.80592,0.99832,0.99843,0.99445,0.97613,0.24191,0.60337,0.75396,0.004654,0.004654,0.004654
56,5210.76,0.39326,0.24834,0.80524,0.99818,0.99845,0.99445,0.97714,0.23956,0.30517,0.75361,0.004555,0.004555,0.004555
57,5296.27,0.39128,0.24795,0.80559,0.99823,0.99842,0.99448,0.97747,0.23697,0.1896,0.75318,0.004456,0.004456,0.004456
58,5385.04,0.38638,0.24446,0.80495,0.9982,0.99834,0.99448,0.97748,0.23674,0.2329,0.7532,0.004357,0.004357,0.004357
59,5471.87,0.38577,0.24468,0.80423,0.99828,0.99857,0.99447,0.97778,0.23587,0.2253,0.75287,0.004258,0.004258,0.004258
60,5558.16,0.38352,0.24476,0.80418,0.99833,0.99849,0.99448,0.97856,0.23201,0.17409,0.75214,0.004159,0.004159,0.004159
61,5643.76,0.38169,0.24291,0.80347,0.99828,0.99864,0.99446,0.97862,0.23118,0.20437,0.75152,0.00406,0.00406,0.00406
62,5731.01,0.37852,0.24154,0.80318,0.99839,0.99842,0.99446,0.97899,0.22987,0.33245,0.7512,0.003961,0.003961,0.003961
63,5817.26,0.37239,0.23916,0.80186,0.99836,0.99853,0.99449,0.97956,0.22867,0.17756,0.75102,0.003862,0.003862,0.003862
64,5903.13,0.37055,0.23676,0.80152,0.99823,0.99861,0.99448,0.97968,0.22823,0.16926,0.75098,0.003763,0.003763,0.003763
65,5988.6,0.37099,0.23971,0.80215,0.99836,0.99858,0.99446,0.97997,0.2264,0.19163,0.75083,0.003664,0.003664,0.003664
66,6074.14,0.36927,0.23687,0.80175,0.99836,0.99838,0.99448,0.98049,0.22482,0.1741,0.75039,0.003565,0.003565,0.003565
67,6160.55,0.36621,0.23585,0.80113,0.99838,0.99856,0.99447,0.98023,0.22496,0.20864,0.75045,0.003466,0.003466,0.003466
68,6250.81,0.36482,0.23609,0.80192,0.99833,0.99854,0.99449,0.98082,0.22216,0.17745,0.74977,0.003367,0.003367,0.003367
69,6336.56,0.36208,0.23305,0.80058,0.99836,0.99849,0.99448,0.98112,0.22028,0.19891,0.74947,0.003268,0.003268,0.003268
70,6424.02,0.35969,0.23194,0.80047,0.99833,0.99864,0.99448,0.98096,0.22186,0.17108,0.74973,0.003169,0.003169,0.003169
71,6509.02,0.35705,0.23032,0.80031,0.99838,0.9986,0.99449,0.98115,0.22104,0.16735,0.74973,0.00307,0.00307,0.00307
72,6594.71,0.35393,0.22998,0.79966,0.9983,0.99871,0.9945,0.98136,0.21913,0.16527,0.74922,0.002971,0.002971,0.002971
73,6681.32,0.35256,0.22918,0.79883,0.99835,0.99864,0.99448,0.98169,0.21798,0.16328,0.74909,0.002872,0.002872,0.002872
74,6768.64,0.35113,0.22776,0.79909,0.99829,0.9987,0.99449,0.98215,0.21691,0.16322,0.74904,0.002773,0.002773,0.002773
75,6855.1,0.3476,0.22612,0.79855,0.99836,0.99859,0.99451,0.98242,0.21549,0.16405,0.74886,0.002674,0.002674,0.002674
76,6941.5,0.34439,0.22546,0.79754,0.99837,0.99862,0.99452,0.98284,0.21458,0.16214,0.74863,0.002575,0.002575,0.002575
77,7026.9,0.34367,0.22386,0.79797,0.99826,0.99873,0.99452,0.98285,0.21443,0.16258,0.74854,0.002476,0.002476,0.002476
78,7112.79,0.34128,0.22318,0.79786,0.99821,0.99876,0.99452,0.98284,0.2136,0.16242,0.74833,0.002377,0.002377,0.002377
79,7198.32,0.33838,0.22113,0.79695,0.99829,0.99872,0.99454,0.98285,0.21464,0.16804,0.74846,0.002278,0.002278,0.002278
80,7283.72,0.3375,0.22101,0.79699,0.99825,0.99875,0.99454,0.98303,0.21327,0.17474,0.74825,0.002179,0.002179,0.002179
81,7372,0.33549,0.22047,0.79638,0.99815,0.99882,0.99453,0.98299,0.21262,0.17493,0.74814,0.00208,0.00208,0.00208
82,7458.26,0.33574,0.21929,0.79638,0.99828,0.99862,0.99453,0.98307,0.21234,0.1696,0.74818,0.001981,0.001981,0.001981
83,7593.82,0.33123,0.21815,0.79646,0.99838,0.99856,0.99452,0.98314,0.21169,0.16562,0.7481,0.001882,0.001882,0.001882
84,7680.5,0.33071,0.21723,0.79576,0.99819,0.99876,0.99453,0.98357,0.21062,0.16093,0.74788,0.001783,0.001783,0.001783
85,8392.24,0.32645,0.21627,0.79543,0.9982,0.99877,0.99452,0.9836,0.20973,0.15935,0.74776,0.001684,0.001684,0.001684
86,8480.67,0.3258,0.21613,0.79492,0.99826,0.99873,0.99452,0.98368,0.2094,0.15907,0.74775,0.001585,0.001585,0.001585
87,8567.19,0.32347,0.21461,0.7955,0.99825,0.99876,0.99452,0.9837,0.2095,0.15858,0.7478,0.001486,0.001486,0.001486
88,8662.66,0.32222,0.214,0.79463,0.99822,0.99878,0.99452,0.9839,0.20871,0.15824,0.74774,0.001387,0.001387,0.001387
89,8977.9,0.31927,0.21213,0.79442,0.99823,0.99878,0.99451,0.984,0.20793,0.15771,0.74764,0.001288,0.001288,0.001288
90,9066.18,0.31701,0.21155,0.79411,0.99829,0.99869,0.99452,0.98407,0.20715,0.15709,0.74756,0.001189,0.001189,0.001189
91,9154.43,0.27616,0.18598,0.78334,0.99843,0.99861,0.99453,0.98439,0.20511,0.15655,0.74714,0.00109,0.00109,0.00109
92,9230.75,0.26602,0.18158,0.78184,0.99842,0.99865,0.99454,0.9848,0.20317,0.15573,0.74681,0.000991,0.000991,0.000991
93,9305.3,0.26198,0.17955,0.78124,0.99841,0.99868,0.99453,0.98503,0.20158,0.15539,0.74655,0.000892,0.000892,0.000892
94,9383.8,0.25612,0.17785,0.77958,0.99841,0.99869,0.99453,0.98535,0.20007,0.15494,0.74628,0.000793,0.000793,0.000793
95,9463.37,0.2524,0.17481,0.77961,0.99845,0.99865,0.99454,0.98555,0.19882,0.15409,0.74615,0.000694,0.000694,0.000694
96,9541.09,0.25229,0.17467,0.77974,0.99844,0.99863,0.99453,0.98574,0.19799,0.15367,0.74604,0.000595,0.000595,0.000595
97,9614.73,0.24825,0.17279,0.77882,0.99845,0.99864,0.99453,0.98585,0.19703,0.15343,0.74589,0.000496,0.000496,0.000496
98,9687.93,0.24478,0.17113,0.77823,0.99841,0.99864,0.99453,0.98596,0.19622,0.15321,0.74575,0.000397,0.000397,0.000397
99,9761.26,0.24337,0.171,0.7777,0.99841,0.99865,0.99454,0.98603,0.19562,0.15317,0.74565,0.000298,0.000298,0.000298
100,9835.03,0.2426,0.17023,0.77799,0.99841,0.99866,0.99454,0.98609,0.19507,0.15335,0.74553,0.000199,0.000199,0.000199
